os_is_virtual,country,os_system_id,performance_score,system_age_years,operating_system_name,operating_system_lifecycle_status,risk_level,hostname,operating_system_installation_date,image_purpose,is_internet_facing,operating_system_provider
True,FRANCE,SYS-76203,88.16,13,RHEL 8,Unknown,Low,host-7510,2012-01-31,Dev,Yes,IBM
False,Unknown,SYS-69717,79.13,13,Unknown,Planned,Low,host-3352,2012-11-29,Testing,Yes,IBM
True,INDIA,SYS-37504,80.21,13,AIX 7.2,Unknown,Low,host-6148,2012-06-25,DR,Yes,RedHat
False,japan,SYS-32009,55.02,12,Unknown,Active,Low,host-3530,2013-07-10,DR,No,IBM
True,Unknown,SYS-87862,99.0,6,AIX 7.2,EOS,High,host-6615,2019-02-23,Production,No,Microsoft
False,india,SYS-87470,86.6,6,Unknown,EOS,High,host-9882,2019-06-29,Production,No,SUSE
True,BRAZIL,SYS-23573,78.91,6,RHEL 8,Planned,Low,host-8913,2019-04-05,Dev,Yes,Google
False,Unknown,SYS-62814,51.85,5,z/OS,EOS,High,host-2100,2020-11-18,Dev,Yes,SUSE
False,GERMANY,SYS-97424,77.79,10,SUSE Linux,Planned,Low,host-9926,2015-04-19,Backup,Yes,Unknown
True,BRAZIL,SYS-13228,51.6,1,Unknown,Active,Low,host-2400,2024-03-08,Backup,No,Google
True,CANADA,SYS-65074,84.83,14,z/OS,EOL,High,host-9403,2011-05-23,DR,No,SUSE
True,usa,SYS-53069,71.18,11,AIX 7.2,Unknown,Low,host-9653,2014-07-11,DR,No,Unknown
False,UK,SYS-71284,60.17,2,CentOS 7,Active,Low,host-9470,2023-06-20,Dev,Yes,Unknown
False,FRANCE,SYS-12629,93.39,8,z/OS,EOL,High,host-5436,2017-12-12,DR,No,Google
False,JAPAN,SYS-13215,59.38,1,Windows Server 2019,Active,Low,host-3225,2024-04-28,Dev,Yes,RedHat
False,CANADA,SYS-63190,65.1,3,Unknown,Planned,Low,host-5186,2022-07-04,Production,Yes,SUSE
True,JAPAN,SYS-40164,90.08,14,SUSE Linux,Unknown,Low,host-4199,2011-06-05,DR,No,Unknown
False,INDIA,SYS-84801,54.19,10,RHEL 8,Active,Low,host-5691,2015-11-26,Backup,Yes,Canonical
False,CANADA,SYS-69537,98.27,3,Unknown,EOS,High,host-7378,2022-06-22,DR,Yes,Google
False,india,SYS-35263,96.62,7,RHEL 8,Planned,Low,host-4567,2018-09-12,Testing,Yes,Microsoft
True,germany,SYS-70111,61.27,9,RHEL 8,Unknown,Low,host-3428,2016-01-24,Dev,No,RedHat
False,INDIA,SYS-97943,53.37,12,CentOS 7,Active,Low,host-6652,2013-02-09,DR,No,SUSE
True,france,SYS-39106,55.44,3,RHEL 8,Unknown,Low,host-7686,2022-04-09,Testing,No,Unknown
False,Unknown,SYS-90268,80.5,10,Unknown,Unknown,Low,host-7997,2015-03-07,Testing,No,Unknown
False,uk,SYS-38631,73.32,5,Ubuntu 22.04,EOS,High,host-2190,2020-09-07,Production,No,Microsoft
True,india,SYS-37523,65.79,7,Windows Server 2019,EOL,High,host-9415,2018-02-05,DR,Yes,IBM
False,BRAZIL,SYS-28242,64.9,14,Ubuntu 22.04,Active,Low,host-3226,2011-09-08,DR,Yes,Unknown
True,FRANCE,SYS-51537,60.49,2,Ubuntu 22.04,Unknown,Low,host-6045,2023-09-28,DR,No,Canonical
True,Unknown,SYS-84679,87.9,11,RHEL 8,EOS,High,host-8752,2014-08-26,Backup,Yes,Unknown
False,JAPAN,SYS-69659,62.31,13,AIX 7.2,EOL,High,host-1309,2012-08-14,Dev,No,IBM
False,USA,SYS-21834,63.15,13,z/OS,Unknown,Low,host-5637,2012-04-04,DR,No,IBM
False,CANADA,SYS-11092,54.07,4,RHEL 8,EOL,High,host-7836,2021-02-06,Backup,No,Google
True,BRAZIL,SYS-49682,96.38,8,Ubuntu 22.04,Unknown,Low,host-5219,2017-02-19,DR,No,RedHat
False,CANADA,SYS-71314,62.98,7,z/OS,Unknown,Low,host-7504,2018-07-28,Testing,No,Google
True,FRANCE,SYS-74345,72.4,5,Unknown,EOL,High,host-1207,2020-11-01,Dev,No,Canonical
False,CANADA,SYS-23979,98.86,8,SUSE Linux,Planned,Low,host-5163,2017-09-09,DR,Yes,Amazon
True,france,SYS-22913,76.63,12,CentOS 7,Active,Low,host-5452,2013-04-01,DR,No,Unknown
False,canada,SYS-67676,81.47,12,AIX 7.2,Unknown,Low,host-9361,2013-09-15,DR,Yes,Unknown
True,Unknown,SYS-73300,55.75,1,AIX 7.2,Planned,Low,host-6934,2024-11-18,DR,Yes,RedHat
True,Unknown,SYS-43238,66.75,12,RHEL 8,Planned,Low,host-2787,2013-06-21,Production,No,Google
True,GERMANY,SYS-20144,53.15,1,Windows Server 2019,EOS,High,host-1114,2024-05-08,Dev,Yes,Unknown
True,INDIA,SYS-81679,51.94,14,SUSE Linux,EOS,High,host-4322,2011-02-09,Dev,No,Microsoft
False,CANADA,SYS-93201,71.99,14,Unknown,EOS,High,host-1397,2011-10-06,Dev,Yes,Google
False,UK,SYS-79300,50.94,3,RHEL 8,EOS,High,host-8935,2022-05-22,Production,No,RedHat
True,germany,SYS-67541,59.51,8,Ubuntu 22.04,Active,Low,host-3113,2017-03-10,Production,Yes,Microsoft
True,INDIA,SYS-49084,88.59,7,SUSE Linux,Planned,Low,host-8565,2018-01-18,DR,Yes,Amazon
False,CANADA,SYS-93808,50.91,13,AIX 7.2,Active,Low,host-1963,2012-02-19,DR,Yes,SUSE
True,GERMANY,SYS-59022,68.17,3,SUSE Linux,EOS,High,host-3888,2022-09-21,Testing,No,Unknown
True,USA,SYS-63287,57.19,10,Windows Server 2019,Planned,Low,host-5769,2015-05-16,DR,No,SUSE
False,JAPAN,SYS-17757,93.6,12,Ubuntu 22.04,Unknown,Low,host-3647,2013-08-15,DR,Yes,Canonical
True,GERMANY,SYS-45500,59.33,5,RHEL 8,Active,Low,host-3893,2020-04-23,Dev,No,Amazon
True,usa,SYS-63216,52.6,14,z/OS,Planned,Low,host-9675,2011-09-09,Dev,Yes,Amazon
False,CANADA,SYS-95626,85.85,14,CentOS 7,Unknown,Low,host-6656,2011-11-15,Production,Yes,SUSE
True,brazil,SYS-53570,88.73,12,Windows Server 2019,Planned,Low,host-2039,2013-08-31,Backup,No,Unknown
False,BRAZIL,SYS-69056,90.3,3,AIX 7.2,EOS,High,host-3551,2022-07-24,Production,Yes,Canonical
False,INDIA,SYS-45910,54.69,11,Windows Server 2019,EOS,High,host-7853,2014-12-04,Testing,No,SUSE
True,INDIA,SYS-80989,95.59,6,SUSE Linux,EOS,High,host-2043,2019-10-16,Production,Yes,Unknown
True,Unknown,SYS-24911,72.58,7,z/OS,Unknown,Low,host-8658,2018-09-15,Dev,No,Canonical
False,CANADA,SYS-54340,57.09,6,SUSE Linux,Active,Low,host-4129,2019-12-26,Backup,Yes,RedHat
False,Unknown,SYS-29963,89.39,1,SUSE Linux,Planned,Low,host-6090,2024-05-14,Backup,No,Google
True,brazil,SYS-27429,75.9,2,CentOS 7,Unknown,Low,host-8471,2023-06-04,Dev,No,IBM
True,brazil,SYS-91743,53.06,2,z/OS,EOS,High,host-9179,2023-07-02,DR,No,SUSE
False,JAPAN,SYS-13998,67.27,6,Unknown,EOL,High,host-9983,2019-04-21,Production,Yes,Amazon
True,GERMANY,SYS-59871,92.6,13,Ubuntu 22.04,EOL,High,host-2003,2012-12-31,Production,No,Canonical
False,Unknown,SYS-94131,91.25,12,Windows Server 2019,Active,Low,host-2320,2013-06-13,Dev,No,Unknown
True,CANADA,SYS-25648,90.15,9,z/OS,EOL,High,host-2388,2016-08-23,Dev,Yes,Microsoft
True,Unknown,SYS-13251,53.91,7,SUSE Linux,Active,Low,host-4769,2018-05-01,Dev,Yes,Google
False,UK,SYS-10500,69.65,12,SUSE Linux,EOS,High,host-6703,2013-07-22,Production,Yes,Unknown
False,USA,SYS-92078,78.66,10,Unknown,EOS,High,host-7072,2015-07-23,Dev,Yes,Unknown
True,BRAZIL,SYS-26775,85.27,8,AIX 7.2,EOS,High,host-8443,2017-02-17,Production,Yes,Amazon
True,GERMANY,SYS-53122,85.83,5,Windows Server 2019,Active,Low,host-1377,2020-05-20,Production,No,Unknown
True,Unknown,SYS-22315,59.06,6,SUSE Linux,EOS,High,host-8131,2019-04-21,Production,Yes,Amazon
True,FRANCE,SYS-41431,61.19,10,Windows Server 2019,Unknown,Low,host-9795,2015-04-11,DR,Yes,Canonical
False,brazil,SYS-51405,54.28,8,SUSE Linux,EOS,High,host-8564,2017-01-02,Production,No,Google
True,JAPAN,SYS-67235,90.19,15,Unknown,EOS,High,host-2619,2010-05-24,Backup,Yes,Google
True,Unknown,SYS-85699,79.01,13,RHEL 8,Planned,Low,host-7796,2012-09-26,Testing,No,Amazon
True,Unknown,SYS-68863,56.25,1,Ubuntu 22.04,Active,Low,host-5653,2024-12-12,Backup,No,IBM
False,BRAZIL,SYS-32658,99.68,14,RHEL 8,Unknown,Low,host-8950,2011-08-19,Dev,Yes,IBM
False,FRANCE,SYS-13061,72.03,9,Unknown,Planned,Low,host-1224,2016-08-13,Backup,No,Amazon
False,uk,SYS-74463,77.97,2,CentOS 7,Unknown,Low,host-8587,2023-02-11,Dev,No,SUSE
True,FRANCE,SYS-26597,68.04,2,Unknown,EOL,High,host-1203,2023-05-03,DR,No,RedHat
True,GERMANY,SYS-91653,76.86,8,Unknown,Planned,Low,host-6681,2017-09-27,DR,Yes,Microsoft
True,INDIA,SYS-16240,97.82,4,RHEL 8,Unknown,Low,host-2014,2021-11-17,Backup,Yes,Unknown
True,BRAZIL,SYS-91164,57.05,3,Unknown,EOS,High,host-4568,2022-10-14,Testing,No,IBM
True,INDIA,SYS-37523,65.79,7,Windows Server 2019,EOL,High,host-9415,2018-02-05,DR,Yes,IBM
